Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=200,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':200,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.03,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.04,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.05,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.05,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.05,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=200,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':200,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.06,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.06,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=200,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':200,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.06,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.07,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.07,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=200,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':200,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.09,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.09,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.09,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.09,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.09,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.09,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.1,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.1,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.1,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.1,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.11,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.11,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=200,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':200,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.12,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.13,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.74,0.91,0.56,0.36,0.81,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",1.15,0.73,0.89,0.56,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=200,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':200,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.21,0.73,0.89,0.57,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.22,0.73,0.89,0.57,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.22,0.73,0.89,0.57,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=200,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':200,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.22,0.73,0.89,0.57,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.22,0.73,0.89,0.57,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=100,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':100,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.23,0.73,0.89,0.57,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=50,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':50,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.23,0.73,0.89,0.57,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=500,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':500,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.24,0.73,0.89,0.57,0.37,0.79,0.61,0.23
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.73,0.89,0.56,0.35,0.8,0.6,0.22,BalancedBaggingClassifier,"{'estimator':RadiusNeighborsClassifier(leaf_size=300,metric='manhattan',outlier_label=1,radius=1.5,weights='distance'),'n_estimators':21,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",k-NN,RadiusNeighborsClassifier,"{'algorithm':'auto','leaf_size':300,'metric':'manhattan','metric_params':None,'n_jobs':None,'outlier_label':1,'p':2,'radius':1.5,'weights':'distance'}",0.24,0.73,0.89,0.57,0.37,0.79,0.61,0.23
