Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,Decision Tree,0.75,0.6,0.9,0.51,0.74,0.86,0.44,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':15,'random_state':42}",,,,0.01,0.67,0.42,0.92,0.44,0.67,0.86,0.45
Single_Model,All_Features,Decision Tree,0.74,0.55,0.93,0.54,0.72,0.89,0.53,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':9,'random_state':42}",,,,0.01,0.67,0.39,0.94,0.44,0.7,0.87,0.52
Single_Model,All_Features,Decision Tree,0.72,0.53,0.92,0.5,0.76,0.87,0.46,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':9,'random_state':42}",,,,0.01,0.67,0.39,0.95,0.45,0.73,0.88,0.54
Single_Model,All_Features,Decision Tree,0.72,0.53,0.9,0.47,0.72,0.86,0.42,DecisionTreeClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':25,'random_state':42}",,,,0.01,0.66,0.41,0.92,0.42,0.67,0.85,0.43
Single_Model,All_Features,Decision Tree,0.7,0.47,0.94,0.48,0.8,0.88,0.5,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':7,'random_state':42}",,,,0.01,0.66,0.37,0.95,0.44,0.76,0.88,0.55
Single_Model,All_Features,Decision Tree,0.67,0.4,0.95,0.45,0.81,0.88,0.5,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':7,'random_state':42}",,,,0.01,0.66,0.36,0.96,0.44,0.78,0.88,0.59
Single_Model,All_Features,Decision Tree,0.67,0.38,0.97,0.47,0.88,0.9,0.6,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':4,'random_state':42}",,,,0.01,0.66,0.34,0.97,0.45,0.82,0.89,0.7
Single_Model,All_Features,Decision Tree,0.67,0.38,0.97,0.47,0.88,0.9,0.6,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':4,'random_state':42}",,,,0.01,0.65,0.33,0.97,0.43,0.84,0.89,0.69
Single_Model,All_Features,Decision Tree,0.68,0.4,0.96,0.47,0.84,0.89,0.56,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':5,'random_state':42}",,,,0.01,0.65,0.33,0.97,0.43,0.83,0.89,0.65
Single_Model,All_Features,Decision Tree,0.73,0.51,0.95,0.53,0.87,0.89,0.56,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':5,'random_state':42}",,,,0.01,0.65,0.33,0.96,0.41,0.82,0.88,0.6
Single_Model,All_Features,Decision Tree,0.64,0.3,0.99,0.43,0.84,0.91,0.78,DecisionTreeClassifier,"{'class_weight':None,'criterion':'gini','max_depth':3,'random_state':42}",,,,0.01,0.64,0.31,0.97,0.4,0.8,0.89,0.68
Single_Model,All_Features,Decision Tree,0.64,0.3,0.99,0.43,0.87,0.91,0.78,DecisionTreeClassifier,"{'class_weight':None,'criterion':'entropy','max_depth':3,'random_state':42}",,,,0.01,0.64,0.3,0.98,0.4,0.82,0.89,0.72
